sdf_file_ix,COMPOUND_NAMES,Reference,IC50_range_nM,smiles
152,Example 482 (Stereo) (Page No: 632),WO2019148005,301-1000,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C2CC2)C1=O)([C@@H](c1nncn1C)F)F
153,Example 446 (R) (Page No: 596),WO2019148005,<100,CC(c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)[C@](C)(C(c1nncn1C)(F)F)F)=O)O
154,Example 290 (+/-) (Page No: 497),WO2019148005,1001-3000,Cn1cnnc1CC(c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)OC
155,Example 291 (+/-) (Page No: 498),WO2019148005,3001-10000,CCOC(Cc1nncn1C)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
156,Example 297 (+/-) (Page No: 504),WO2019148005,3001-10000,CC(Cc1nncn1C)(c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)O
157,Example 295 (+/-) (Page No: 502),WO2019148005,3001-10000,CC(c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)(C(c1nncn1C)(F)F)O
158,Example 350 (R) (Page No: 539),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1cc(cc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)NC1COC1
159,Example 262 (R) (Page No: 475),WO2019148005,301-1000,C[C@H](Cc1nc[nH]n1)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
160,Example 440 (R) (Page No: 592),WO2019148005,101-300,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)c2cc(cnc2)F)C1=O)(C(c1nncn1C)(F)F)F
161,Example 278 (R) (Page No: 486),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(cc2C1=O)C(N1CC(C1)O)=O)C1CC1
162,Example 277 (Stereo) (Page No: 484),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(cc2C1=O)C(N1CC[C@@H](C1)O)=O)C1CC1
163,Example 379 (Stereo) (Page No: 557),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N[C@H]2CCNC2)C1=O
164,Example 380 (Stereo) (Page No: 558),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N(C)[C@H]2CCNC2)C1=O
165,Example 393 (R) (Page No: 567),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(CN3CC(C3)O)cc2C(F)(F)F)C1=O
166,Example 406 (Stereo) (Page No: 574),WO2019148005,<100,C[C@@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)[C@H](C)Cc1nncn1C)=O)N1CC(C1)O
167,Example 405 (Stereo) (Page No: 574),WO2019148005,<100,C[C@@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)[C@H](C)N2CC(C2)O)C1=O
168,Example 397 (R) (Page No: 569),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(CN3CC(C)(C3)O)cc2C(F)(F)F)C1=O
169,Example 276 (R) (Page No: 484),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C(N2CC(C2)O)=O)C1=O
170,Example 401 (R) (Page No: 571),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(CN3CC(C3)F)cc2C(F)(F)F)C1=O
171,Example 402 (R) (Page No: 572),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(CN3CC(C3)(F)F)cc2C(F)(F)F)C1=O
172,Example 394 (Stereo) (Page No: 567),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H](C3)O)cc2C(F)(F)F)C1=O
173,Example 416 (Stereo) (Page No: 580),WO2019148005,<100,CC(c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)[C@H](C)Cc1nncn1C)=O)N1CC[C@@H](C1)O
174,Example 398 (Stereo) (Page No: 570),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(CN3CC[C@@](C)(C3)O)cc2C(F)(F)F)C1=O
175,Example 274 (Stereo) (Page No: 483),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C(N2CC[C@@H](C2)O)=O)C1=O
176,Example 275 (Stereo) (Page No: 483),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C(N2C[C@H](C[C@H]2C)O)=O)C1=O
177,Example 399 (Stereo) (Page No: 570),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H](C3)F)cc2C(F)(F)F)C1=O
178,Example 400 (Stereo) (Page No: 570),WO2019148005,<100,C[C@@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H](C3)F)cc2C(F)(F)F)C1=O
179,Example 404 (Stereo) (Page No: 572),WO2019148005,<100,C[C@@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)[C@H](C)Cc1nncn1C)=O)N1CC[C@@H](C1)F
180,Example 403 (Stereo) (Page No: 572),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)[C@@H](C)N2CC[C@@H](C2)F)C1=O
181,Example 409 (Stereo) (Page No: 576),WO2019148005,<100,Cn1cnnc1[C@@H]1C[C@@H]1c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H](C3)F)cc2C(F)(F)F)C1=O
182,Example 466 (Stereo) (Page No: 610),WO2019148005,<100,CC(c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)[C@H]1C[C@H]1c1nncn1C)=O)N1CC[C@@H](C1)F
183,Example 396 (R) (Page No: 569),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(CN3CCC(C3)(F)F)cc2C(F)(F)F)C1=O
184,Example 395 (Stereo) (Page No: 569),WO2019148005,<100,C[C@@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(CN3C[C@@H]([C@H](C3)F)O)cc2C(F)(F)F)C1=O
185,Example 418 (cis) (Page No: 581),WO2019148005,<100,C[C@@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(CN3C[C@@H]([C@@H](C3)O)F)cc2C(F)(F)F)C1=O
186,Example 417 (R) (Page No: 581),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(CN3CC(C(C3)(F)F)O)cc2C(F)(F)F)C1=O
187,Example 442 (R) (Page No: 593),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N2CCNCC2)C1=O)(C(c1nncn1C)(F)F)F
188,Example 441 (R) (Page No: 593),WO2019148005,101-300,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N2CCN(C)CC2)C1=O)(C(c1nncn1C)(F)F)F
189,Example 443 (Stereo) (Page No: 594),WO2019148005,<100,C[C@@H]1CN(C)CCN1c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)[C@](C)(C(c1nncn1C)(F)F)F)=O
190,Example 444 (Stereo) (Page No: 594),WO2019148005,<100,C[C@H]1CN(C)CCN1c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)[C@](C)(C(c1nncn1C)(F)F)F)=O
191,Example 548 (Stereo) (Page No: 683),WO2019148005,101-300,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N(C)[C@@H]2CNC[C@@H]2F)C1=O)(C(c1nncn1C)(F)F)F
192,Example 551 (Stereo) (Page No: 685),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N(C)[C@@H]2CNC[C@H]2F)C1=O)(C(c1nncn1C)(F)F)F
193,Example 550 (Stereo) (Page No: 685),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N(C)[C@H]2CNC[C@@H]2F)C1=O)(C(c1nncn1C)(F)F)F
194,Example 549 (Stereo) (Page No: 684),WO2019148005,101-300,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N(C)[C@H]2CNC[C@H]2F)C1=O)(C(c1nncn1C)(F)F)F
195,Example 451 (R) (Page No: 600),WO2019148005,101-300,C[C@@](c1cccc(c1)N1Cc2c(cc(CN3CC(C3)F)cc2C(F)(F)F)C1=O)(C(c1nncn1C)(F)F)F
196,Example 450 (Stereo) (Page No: 599),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(CN3CC[C@H](C3)F)cc2C(F)(F)F)C1=O)(C(c1nncn1C)(F)F)F
197,Example 449 (Stereo) (Page No: 598),WO2019148005,301-1000,C[C@@](c1cccc(c1)N1Cc2c(cc(CN3CC[C@H](C3)F)cc2C(F)(F)F)C1=O)(C(c1nncn1C)(F)F)F
198,Example 447 (Stereo) (Page No: 596),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H](C3)F)cc2C(F)(F)F)C1=O)(C(c1nncn1C)(F)F)F
199,Example 461 (Stereo) (Page No: 605),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(CN3C[C@@H]([C@@H](C3)F)F)cc2C(F)(F)F)C1=O)(C(c1nncn1C)(F)F)F
200,Example 460 (Stereo) (Page No: 603),WO2019148005,<100,C[C@@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)[C@](C)(C(c1nncn1C)(F)F)F)=O)N1CC[C@@H](C1)F
201,Example 459 (Stereo) (Page No: 603),WO2019148005,<100,C[C@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)[C@](C)(C(c1nncn1C)(F)F)F)=O)N1CC[C@@H](C1)F
202,Example 448 (R) (Page No: 598),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(CN3CCC(C3)(F)F)cc2C(F)(F)F)C1=O)(C(c1nncn1C)(F)F)F
203,Example 462 (S) (Page No: 606),WO2019148005,<100,Cn1cnnc1C(C1(CC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H](C3)F)cc2C(F)(F)F)C1=O)(F)F
204,Example 456 (R) (Page No: 602),WO2019148005,101-300,C[C@@](c1cccc(c1)N1Cc2c(cc(CN3CC(C3)C#N)cc2C(F)(F)F)C1=O)(C(c1nncn1C)(F)F)F
205,Example 455 (Stereo) (Page No: 601),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(CN3CC[C@H](C3)C#N)cc2C(F)(F)F)C1=O)(C(c1nncn1C)(F)F)F
206,Example 454 (Stereo) (Page No: 601),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H](C3)C#N)cc2C(F)(F)F)C1=O)(C(c1nncn1C)(F)F)F
207,Example 452 (R) (Page No: 600),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(CN3CC(C3)OC)cc2C(F)(F)F)C1=O)(C(c1nncn1C)(F)F)F
208,Example 453 (R) (Page No: 600),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(CN3CC(C3)C(F)F)cc2C(F)(F)F)C1=O)(C(c1nncn1C)(F)F)F
209,Example 439 (R) (Page No: 592),WO2019148005,301-1000,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C(N2CC(C2)C(F)F)=O)C1=O)(C(c1nncn1C)(F)F)F
210,Example 438 (Stereo) (Page No: 591),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C(N2CC[C@@H](C2)O)=O)C1=O)(C(c1nncn1C)(F)F)F
211,Example 458 (Stereo) (Page No: 603),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(CN3CC[C@H](C3)S(C)(=O)=O)cc2C(F)(F)F)C1=O)(C(c1nncn1C)(F)F)F
212,Example 457 (Stereo) (Page No: 602),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H](C3)S(C)(=O)=O)cc2C(F)(F)F)C1=O)(C(c1nncn1C)(F)F)F
213,Example 577 (Page No: 702),WO2019148005,101-300,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(ccc(c2C2CC2)F)C1=O
214,Example 301 (Page No: 507),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
215,Example 437 (Page No: 591),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CO)cc2C(F)(F)F)C1=O
216,Example 540 (+/-) (Page No: 675),WO2019148005,<100,CC(c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)O
217,Example 697 (+/-) (Page No: 774),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C(c2ccccc2)O)C1=O
218,Example 580 (+/-) (Page No: 705),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C(C(F)(F)F)O)C1=O
219,Example 611 (Page No: 721),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C2CCC2)C1=O
220,Example 613 (+/-) (Page No: 722),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C2CCOC2)C1=O
221,Example 615 (+/-) (Page No: 723),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C2CCCOC2)C1=O
222,Example 529 (+/-) (Page No: 668),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CC3CCCO3)cc2C(F)(F)F)C1=O
223,Example 547 (Page No: 682),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C(CO)(F)F)C1=O
224,Example 544 (Page No: 679),WO2019148005,301-1000,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C(C(O)=O)(F)F)C1=O
225,Example 612 (Page No: 722),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C2COCC=2)C1=O
226,Example 614 (Page No: 723),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C2COCCC=2)C1=O
227,Example 616 (Page No: 724),WO2019148005,<100,CC1=C(CCO1)c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
228,Example 427 (S) (Page No: 586),WO2019148005,<100,C[C@H]1C=CCN1Cc1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
229,Example 654 (Page No: 744),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3Cc4ccccc4C3)cc2C(F)(F)F)C1=O
230,Example 659 (Page No: 746),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3Cc4ccc(cc4C3)[Cl])cc2C(F)(F)F)C1=O
231,Example 655 (Page No: 744),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3Cc4ccc(cc4C3)F)cc2C(F)(F)F)C1=O
232,Example 657 (Page No: 745),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3Cc4cccc(c4C3)[Cl])cc2C(F)(F)F)C1=O
233,Example 653 (Page No: 743),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3Cc4cccc(c4C3)F)cc2C(F)(F)F)C1=O
234,Example 658 (Page No: 745),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3Cc4cccc(C#N)c4C3)cc2C(F)(F)F)C1=O
235,Example 702 (Page No: 780),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3Cc4cccc(c4C3)OC)cc2C(F)(F)F)C1=O
236,Example 656 (Page No: 744),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3Cc4ccc(cc4C3)OC)cc2C(F)(F)F)C1=O
237,Example 607 (Page No: 719),WO2019148005,<100,CC1CN(C1)c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
238,Example 608 (+/-) (Page No: 720),WO2019148005,<100,CC1CN(C1C)c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
239,Example 594 (Page No: 713),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N2CC(C2)C(F)F)C1=O
240,Example 600 (Page No: 716),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N2CC(C2)C(F)(F)F)C1=O
241,Example 601 (+/-) (Page No: 717),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N2CCC(C2)C(F)F)C1=O
242,Example 389 (S) (Page No: 565),WO2019148005,<100,C[C@H]1CN(C)CCN1c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
243,Example 390 (R) (Page No: 566),WO2019148005,<100,C[C@@H]1CN(C)CCN1c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
244,Example 603 (Page No: 718),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N2CC3(CCC3(F)F)C2)C1=O
245,Example 602 (Page No: 717),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N2CC3(CC(C3)(F)F)C2)C1=O
246,Example 567 (Page No: 696),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N2CCOCC2)C1=O
247,Example 391 (Page No: 566),WO2019148005,<100,CN1CCN(C(C1)=O)c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
248,Example 582 (Page No: 706),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N2CCNC3(CC3)C2)C1=O
249,Example 583 (Page No: 707),WO2019148005,<100,CN1CCN(CC12CC2)c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
250,Example 415 (Page No: 580),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC(C3)F)cc2C(F)(F)F)C1=O
251,Example 668a (R) (Page No: 750),WO2019148005,<100,C[C@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CC(C1)F
252,Example 668b (S) (Page No: 750),WO2019148005,<100,C[C@@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CC(C1)F
253,Example 424 (Page No: 584),WO2019148005,<100,CC1(CN(Cc2cc3C(N(Cc3c(c2)C(F)(F)F)c2cccc(c2)C2(Cc3nncn3C)COC2)=O)C1)F
254,Example 543a (S) (Page No: 678),WO2019148005,<100,C[C@@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CC(C)(C1)F
255,Example 543b (R) (Page No: 678),WO2019148005,<100,C[C@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CC(C)(C1)F
256,Example 536 (Page No: 672),WO2019148005,<100,CC1(C)[C@H](CN1Cc1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)F
257,Example 410 (S) (Page No: 577),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H](C3)F)cc2C(F)(F)F)C1=O
258,Example 412 (Stereo) (Page No: 578),WO2019148005,<100,C[C@@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CC[C@@H](C1)F
259,Example 413 (Stereo) (Page No: 578),WO2019148005,<100,C[C@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CC[C@@H](C1)F
260,Example 545 (Stereo) (Page No: 680),WO2019148005,<100,CC[C@@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CC[C@@H](C1)F
261,Example 546 (Stereo) (Page No: 680),WO2019148005,<100,CC[C@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CC[C@@H](C1)F
262,Example 414 (cis) (Page No: 580),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3C[C@@H]([C@@H](C3)F)F)cc2C(F)(F)F)C1=O
263,Example 435 (+/-) (Page No: 590),WO2019148005,<100,CC1(CCN(Cc2cc3C(N(Cc3c(c2)C(F)(F)F)c2cccc(c2)C2(Cc3nncn3C)COC2)=O)C1)F
264,Example 411 (Page No: 577),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC(C3)(F)F)cc2C(F)(F)F)C1=O
265,Example 419 (R) (Page No: 582),WO2019148005,<100,C[C@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CCC(C1)(F)F
266,Example 420 (S) (Page No: 582),WO2019148005,<100,C[C@@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CCC(C1)(F)F
267,Example 581 (+/-) (Page No: 705),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C(C(F)(F)F)N2CCCC2)C1=O
268,Example 432 (S) (Page No: 588),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC[C@@H](C3)F)cc2C(F)(F)F)C1=O
269,Example 623 (R) (Page No: 729),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC[C@H](C3)F)cc2C(F)(F)F)C1=O
270,Example 639a (Stereo) (Page No: 736),WO2019148005,<100,C[C@@H]1CCN(Cc2cc3C(N(Cc3c(c2)C(F)(F)F)c2cccc(c2)C2(Cc3nncn3C)COC2)=O)C[C@@H]1F
271,Example 639b (Stereo) (Page No: 736),WO2019148005,<100,C[C@@H]1CCN(Cc2cc3C(N(Cc3c(c2)C(F)(F)F)c2cccc(c2)C2(Cc3nncn3C)COC2)=O)C[C@@H]1F
272,Example 631 (trans) (Page No: 733),WO2019148005,<100,C[C@H]1CCN(Cc2cc3C(N(Cc3c(c2)C(F)(F)F)c2cccc(c2)C2(Cc3nncn3C)COC2)=O)C[C@@H]1F
273,Example 634 (cis) (Page No: 734),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@H]([C@H](C3)F)F)cc2C(F)(F)F)C1=O
274,Example 626a (Stereo) (Page No: 730),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H]([C@H](C3)F)F)cc2C(F)(F)F)C1=O
275,Example 626b (Stereo) (Page No: 730),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H]([C@H](C3)F)F)cc2C(F)(F)F)C1=O
276,Example 627 (+/-) (Page No: 731),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCCCC(C3)F)cc2C(F)(F)F)C1=O
277,Example 693 (Page No: 770),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCCC(C3)(F)F)cc2C(F)(F)F)C1=O
278,Example 635 (+/-) (Page No: 735),WO2019148005,<100,CC1CCN(Cc2cc3C(N(Cc3c(c2)C(F)(F)F)c2cccc(c2)C2(Cc3nncn3C)COC2)=O)CC1(F)F
279,Example 644a (S) (Page No: 739),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H](CO)C(C3)(F)F)cc2C(F)(F)F)C1=O
280,Example 644b (R) (Page No: 739),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@H](CO)C(C3)(F)F)cc2C(F)(F)F)C1=O
281,Example 643 (Page No: 738),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC(CC3)C(F)F)cc2C(F)(F)F)C1=O
282,Example 621 (cis) (Page No: 727),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@H]([C@H](C3)F)OC)cc2C(F)(F)F)C1=O
283,Example 625 (Page No: 730),WO2019148005,<100,CN1CCN(CC1)Cc1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
284,Example 624 (Page No: 729),WO2019148005,<100,CCN1CCN(CC1)Cc1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
285,Example 632 (Page No: 733),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC(CC3)OC)cc2C(F)(F)F)C1=O
286,Example 662a (R) (Page No: 747),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H](C3)c3ccccc3)cc2C(F)(F)F)C1=O
287,Example 662b (S) (Page No: 747),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@H](C3)c3ccccc3)cc2C(F)(F)F)C1=O
288,Example 489 (Page No: 639),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC(CC3)F)cc2C(F)(F)F)C1=O
289,Example 620 (Page No: 727),WO2019148005,<100,CC1(CCN(CC1)Cc1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)F
290,Example 553a (S) (Page No: 687),WO2019148005,<100,C[C@@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CCC(C)(CC1)F
