ligand,code1,code2
CC(C)([C@@H](c1ccc2c(c1)oc(n2)[O-])O)S(=O)(=O)C,C70131456,P108106145
[H]/N=c\1/c(c(n2c(n1)SC[C@H]2c3ccccc3)[O-])N=O,C71766701,P111199833
Cc1cc(ccc1[N-]S(=O)(=O)c2c(noc2C)C)O,C78005192,P121705601
c1cc(c(cc1Cl)Cl)n2c(=O)c(c[nH]c2=O)C(=O)[O-],C78401839,P122298902
C1C[C@@H]2C[C@H]1[C@@H]([C@@H]2NC(=O)N3CCS(=O)CC3)C(=O)[O-],C79568229,P124302636
C[C@@H]1CN(CCN1C)C(=O)N[C@@H]2[C@@H]3CC[C@@H](C3)[C@@H]2C(=O)[O-],C79568974,P124333021
c1cc(cnc1)c2nnc(n2C[C@H]3CCC(=O)N3)[S-],C79933690,P124879886
CC(C)S(=O)(=O)[N-]c1ccc2c(c1)C(=O)NC2=O,C81569258,P127259531
CN1C(=O)/C(=C\c2cc(c(c(c2)Cl)[O-])Cl)/C(=O)NC1=O,C34138301,P130265176
C1CCC(C1)(CC(=O)[O-])NC(=O)N2CCCOCC2,C84159353,P131685278
c1c(cn(c1Br)C[C@H]2CNC(=O)O2)C(=O)[O-],C85847192,P134402060
c1cc(ccc1c2cscn2)C(=O)Nc3[n-]ncn3,C87141577,P136374225
C[C@@H]1CCCN([C@@H]1C)C(=O)N[C@@H]2COC[C@@]2(C)C(=O)[O-],C90578297,P141653726
CC1(C(C1(C)C)NC(=O)N(C)[C@@H]2COC[C@H]2C(=O)[O-])C,C92832229,P145342310
c1ccc(cc1)C#CC(=O)N2CC[C@]3(C2)C(=NC(=O)N3)[O-],C93295269,P146058840
Cc1cccc(c1[O-])NS(=O)(=O)N2CCOCC2,C93655254,P146699058
C1C[C@@H]2[C@H](C1)C2C(=O)N3CCC4(CC3)C(=NC(=O)N4)[O-],C93668414,P146718372
CC1(CCCC[C@@H]1NC(=O)N2CCOC[C@H]2C(=O)[O-])C,C94331490,P147848559
C[C@H]1CN2CCCC[C@@H]2CN1C(=O)NCCC(=O)[O-],C94442358,P148017193
C[C@H]1CN2CCC[C@@H]2CN1C(=O)NC(C)(C)CC(=O)[O-],C94463201,P148055454
C1CC[C@@H]2[C@@H](C1)CC[C@@H](N2C(=O)N[C@@H]3CCOC3)C(=O)[O-],C94889934,P148735420
CCc1nc([n-]n1)C(=O)N2CCNCC23CCCCC3,C95046802,P149005738
CCCc1[n-]nc(n1)C(=O)N2CCc3ccc(cc3C2)O,C95055170,P149036816
CC(=O)NC1=C(C(=O)/C(=N\C(=O)C)/C(=C1[O-])Cl)Cl,C01598903,P156209821
COc1ccc(cc1)[C@H]2C(=O)C(=O)c3c(cc(cc3O2)O)[O-],C98355289,P156451491
CCc1ccc(cc1)N2C(=O)/C(=C\c3[nH]c4ccccc4n3)/C(=NC2=O)[O-],C19707202,P29224509
Cc1cc(c(n1c2cccc(c2)[N+](=O)[O-])C)/C=C/3\C(=O)NC(=N3)[S-],C00447648,P29517372
CC1=NC2=N/C(=N/c3ccccc3)/N[C@H](N2C(=C1)[O-])c4ccncc4,C21123215,P31526542
CN(Cc1[nH]c(=O)c2ccccc2n1)Cc3nc4ccccc4c(n3)[O-],C15351163,P31569653
c1cc(c(cc1F)[N-]S(=O)(=O)c2ccc(c(c2)[N+](=O)[O-])O)F,C21363365,P31915587
Cc1ccc(cc1)C(=O)C2=C(C(=O)N[C@H]2c3ccc(cc3)[N+](=O)[O-])[O-],C06493758,P32998309
CCn1cc(cc1C(=O)Nc2ccc(cc2[N+](=O)[O-])[O-])Br,C37844208,P56287742
C[C@@H]1C[C@@]2(CC(C1)(C)C)C(=O)N(C(=O)N2)C/C(=N/c3nccs3)/[O-],C03531952,P59419984
CC\1=NC2=NC(=O)NC(=O)[C@H]2[C@@H](/C1=C(\[O-])/OC)c3ccc(cc3)Cl,C39359602,P59640056
c1ccc(cc1)c2c3cc(ccc3no2)/C=C\4/C(=O)NC(=NC4=O)[O-],C39895668,P60525644
CN1[C@H](NN=C1SCc2nc3ccccc3c(n2)[O-])c4cccnc4,C39975903,P60666981
Cc1c(sc(=O)[nH]1)S(=O)(=O)[N-]c2cc3c(cc2Cl)OCO3,C40429624,P61379885
CC1=C([C@H](c2c(ccc(n2)c3ccccc3OC)C(=N1)[O-])O)C(=O)OC,C40568924,P61606889
Cc1ccc2c(c1)NC(=O)[C@H](O2)C/C(=N/c3nnc(s3)C(C)C)/[O-],C40807078,P61957379
Cc1ccc(cc1N/C=C\2/C(=C(C(=O)N(C2=O)C)C#N)C)C(=O)[O-],C05330955,P83053305
COc1cc[n-]/c(=N\NS(=O)(=O)c2cccc(c2F)Cl)/n1,C55585259,P83724881
Cc1ccc(cc1C)N2C3=NCN(CC3=C(NC2=O)[O-])Cc4ccco4,C20395195,P85784252
Cc1ccc(s1)c2nc([n-]n2)NC(=O)C3=NO[C@@H](C3)c4ccccc4,C58228368,P87893748
Cc1cc(=O)[nH]c(n1)c2cccc(c2)/N=C(/C(=C/c3ccco3)/C#N)\[O-],C58319274,P88043185
Cc1cccc(c1)[N-]C2=N[C@@H](N3C(=O)C=C(NC3=N2)C)c4ccncc4,C59349472,P90226745
CC1=C([C@H](N2C(=N1)[N-]C=N2)c3cccn3C)C(=O)Nc4ccccc4,C08609904,P90700134
Cc1cccc(c1)c2nnc(n2CC(=O)Nc3nncs3)[S-],C13004762,P97370549
c1ccc(c(c1)c2nc(cs2)C(=O)Nc3[n-]c(c(n3)C#N)C#N)F,C63727890,P97847379
Cc1cc(c2c(n1)N(N[C@H]2C)C)/C(=N/C3=NN=C(C3)C(C)(C)C)/[O-],C63964565,P98198482
C[C@]1(C(=O)N(C(=O)N1)/N=C(/c2cccc(c2)N(C)C)\[O-])c3ccccc3,C13100190,P105498602
C[C@]1(C(=O)N(C(=O)N1)/N=C(/c2ccc(cc2)N(C)C)\[O-])c3ccccc3,C13100192,P105498607
c1cc(ccc1S(=O)(=O)[N-]c2[nH]c(nn2)N3CCCCC3)Cl,C69660946,P107261752
c1cc2c(cc1n3c(nnc3[S-])c4cc(n[nH]4)C5CC5)OCO2,C04632417,P110134458
c1c(cc(c2c1OCO2)Cl)/C(=N/c3[nH]nc(n3)C(F)(F)F)/[O-],C71869385,P111492153
c1ccc2c(c1)/C(=N\NC(=O)Cn3ccc(n3)C(F)(F)F)/C(=N2)[O-],C13123016,P112288541
Cc1cc2c(cc1C)O[C@H](C2)/C(=N/c3[nH]nc(n3)c4ccoc4)/[O-],C72302827,P112373996
Cc1ccccc1NC(=O)c2cc3c(nc2C)n(c(nc3=O)[O-])C,C72451964,P112720747
c1cc(sc1)c2nc(cs2)CC(=O)Nc3[n-]c(c(n3)C#N)C#N,C26271220,P117607934
c1ccc(cc1)c2c(cn(n2)c3ccccc3)/C=C\4/C(=O)NC(=NC4=O)[O-],C08739347,P117617731
c1ccc2c(c1)c(=O)n(c(n2)[S-])CC(=O)Nn3cnc4c3cccc4,C78269084,P122069518
C[C@@H](C(=O)Nc1[n-]c(c(n1)C#N)C#N)Oc2ccc(cc2Cl)F,C79098848,P123482612
Cc1cccc(c1)N2C(=O)/C(=C/c3[nH]c4ccccc4n3)/C(=NC2=O)[O-],C18086726,P130294633
Cc1ccccc1N2C(=O)/C(=C(\C)/NN3CCCCC3)/C(=NC2=O)[O-],C17016824,P134667498
C[C@H](C(=O)Nc1cc(ccc1[O-])[N+](=O)[O-])N2CCc3ccccc3C2,C89531867,P139952992
CCc1c(c(no1)C)NC(=O)Cn2c(=O)c3ccccc3nc2[S-],C89943889,P140598092
Cc1cc(c(n1c2ccc(cc2)C(=O)OC)C)/C=C\3/C(=O)N=C(N3)[O-],C95473360,P149973878
c1ccc(c(c1)c2nc([nH]n2)/N=C(/[C@H]3CCn4cncc4C3)\[O-])F,C95978494,P151153848
Cc1ccccc1N2C(=O)/C(=C(\C)/NN3CCCCC3)/C(=O)N=C2[O-],C95481017,P151374061
Cc1c2c(n(n1)c3ccc(nn3)[O-])NC(=O)C[C@@H]2c4cccc(c4)Cl,C31819352,P152541266
c1ccc(cc1)n2cc(c(n2)C(=O)N/N=C\c3ccc(cc3)C#N)[O-],C38333713,P152903738
Cc1c2c(n(n1)c3ccc(nn3)[O-])N=C(C[C@H]2c4ccc(cc4F)F)O,C31817620,P153170502
c1ccn2c(c1)nc(c2/C=N\Nc3ccc(cc3)S(=O)(=O)[O-])Cl,C35112082,P153202706
Cc1ccc(cc1)n2c(cc(n2)C(=O)Nc3cc(nc(n3)[O-])C)C,C97082736,P153689816
c1cc(c(c(c1)S(=O)(=O)[NH-])[N+](=O)[O-])N2CCc3c(ccs3)C2,C97234723,P153967935
Cc1ccc(cc1)N2C(=O)/C(=C(\C)/NN3CCCCCC3)/C(=O)N=C2[O-],C09319255,P155576326
c1ccc2c(c1)[nH]/c(=N/S(=O)(=O)CC(=O)[O-])/s2,C20245545,P30158742
C[C@H]1CCC[NH+](C1)S(=O)(=O)[N-]c2ccc(cc2)C(=O)[O-],C20257781,P30190363
c1cc(ccc1C(=O)[O-])N2C(=O)C3(CCCCC3)CC(=O)N2,C22149654,P32953138
c1cc(oc1)C(=O)Nc2[n-]nc(n2)c3ccc(cc3)F,C09479437,P42213071
c1cc(ccc1c2ccc(=O)[nH]n2)c3ccc(nn3)[O-],C05117229,P43251456
c1cc(cnc1)/C=N\Nc2cnnc(c2Br)[O-],C32511723,P47920722
Cc1c(nc2ccccc2n1)CSCc3[nH]nc(n3)[O-],C04783695,P50122338
Cc1cccc(c1C)NC(=O)CSc2nc(cnn2)[O-],C04248954,P50575412
CC(C)(C)NC(=O)Cn1c2ccccc2n3c1nnc3[S-],C35315108,P52401817
C1CC[C@@H]2CN(CC[C@H]2C1)C(=O)NC(=O)CCCC(=O)[O-],C36810323,P54707085
Cc1nc(cs1)[C@@H](C)Nc2cccc(c2)c3[n-]nnn3,C37102205,P55161130
Cc1ccc(cc1F)/C(=N/c2[nH]nc(n2)c3ccco3)/[O-],C40052601,P60786066
c1ccc(cc1)CCC(=O)Nc2[n-]c(c(n2)C#N)C#N,C26273689,P61490853
C[C@H]1CCCC[C@@H]1NC(=O)N2CCN(CC2)CCC(=O)[O-],C40551067,P61576039
CCC[C@H](C#N)C(=O)Nc1ccc2c(c1)C(=NC2=O)[O-],C44813386,P67577072
Cc1ccc2c(c1)sc(n2)/N=C(/CNC(=O)OC)\[O-],C48911859,P73079921
c1ccc(cc1)c2nc(sn2)/N=C(/c3cc[nH]n3)\[O-],C48918824,P73097826
Cn1ccc(n1)C(=O)N/N=C\c2cc(ccc2[O-])Cl,C05888336,P74945504
c1cc(c(cc1Cl)Cl)/C=C/C(=N/c2n[nH]nn2)/[O-],C16676426,P77194151
c1ccc2c(c1)c([nH]n2)[N-]S(=O)(=O)N3CCCCCC3,C54433125,P81921102
COc1ccc(cc1)/C(=N/c2[nH]nc(n2)C(F)(F)F)/[O-],C12659311,P86446482
CC(C)(/C(=N/c1cccc(c1n2cncn2)Cl)/[O-])NC,C61316272,P93885622
C[C@@H](CN(C)C(=O)Nc1ccc(cc1F)C(=O)[O-])C#N,C63009490,P96751400
Cc1cc[nH+]cc1[N-]S(=O)(=O)c2ccc(cc2)C(=O)[O-],C71413984,P110495070
Cc1ccccc1/C(=N/c2[nH]nc(n2)c3ccco3)/[O-],C73973455,P115242632
COc1ccccc1c2[nH]c(nn2)/N=C(/C(F)(F)F)\[O-],C03155186,P117219280
Cc1ccc(c(c1)[C@H](C)NC(=O)c2ccc(nn2)[O-])OC,C24087641,P123315281
CC[C@@H]1COCCN1C(=O)N[C@@H]2[C@@H]3CC[C@@H](C3)[C@@H]2C(=O)[O-],C79567752,P124301666
C[C@H](CN(C)C(=O)N[C@@H]1[C@@H]2CC[C@@H](C2)[C@@H]1C(=O)[O-])C#N,C79568285,P124302740
c1cc(ccc1/C=N\NC(=O)c2ccc(nn2)[O-])Cl,C34780784,P130232827
C[C@H]1CN([C@@H](CO1)C)C(=O)NC2(CCCC2)CC(=O)[O-],C84156151,P131681322
CC[C@H]1CN(CCN1C)C(=O)NC2(CCCC2)CC(=O)[O-],C84159679,P131698434
CCCNc1c(cnc(n1)c2nc[n-]n2)Br,C85462033,P133774322
C[C@@H]1CN(CCN1C)C(=O)NC[C@@H](C(C)C)C(=O)[O-],C87508046,P136894084
C[C@H]1C[C@@H](CN(C1)C(=O)NC(=O)CC(C)(C)C(=O)[O-])C,C87727532,P137214704
CCC1CCN(CC1)C(=O)NC(=O)CC(C)(C)C(=O)[O-],C87727732,P137215118
CC1CCC(CC1)N(C)C(=O)NC(=O)CC(C)(C)C(=O)[O-],C87727746,P137215146
CCC1(CCN(CC1)C(=O)N[C@@H]2COC[C@@H]2C(=O)[O-])CC,C90377228,P141299588
CN([C@@H]1COC[C@@H]1C(=O)[O-])C(=O)NCC2CCCC2,C90427702,P141385776
CN([C@H]1COC[C@H]1C(=O)[O-])C(=O)NC[C@@H]2CCC=CC2,C90429996,P141389943
C[C@@]1(COC[C@@H]1NC(=O)N2CCCC(C2)(C)C)C(=O)[O-],C90579097,P141654526
Cc1ccccc1OCC#CCNC(=O)c2ccc(nn2)[O-],C90729067,P141910341
CC[C@@H](CNC(=O)N1C[C@@H]2CCCCN2C[C@@H]1C)C(=O)[O-],C94442183,P148017071
CC1CCC(CC1)N(C)C(=O)NC[C@H]2CC[C@@H](O2)C(=O)[O-],C94562636,P148228085
CCC1(CCN(CC1)C(=O)NC[C@@H]2CC[C@@H](O2)C(=O)[O-])C,C94564015,P148229464
CCC1(CCN(C1)C(=O)N[C@H]2COC[C@H]2C(=O)[O-])CC,C94807242,P148598479
CCOC(=O)c1ccc(cc1F)c2cnc([nH]c2=O)[O-],C65346965,P150067324
Cc1c(nc(nn1)N/N=C\C2=CC[C@H]3C[C@@H]2C3(C)C)[O-],C96695662,P152874725
Cc1ccc(cc1)n2c(cc(n2)/C(=C(\C#N)/C(=O)NC)/[O-])C,C97038951,P153605744
CC(C)c1nc([nH]n1)/N=C(/Cn2ccc3c2cccc3)\[O-],C95480802,P155590204
CCOC(=O)c1c([nH]c(=O)nc1SCC(=O)[O-])C,C05251653,P07768932
c1cc(ccc1Cn2cncn2)NC(=O)/C=C/C(=O)[O-],C17007030,P25596369
COC(=O)COC(=O)c1cc(sc1)S(=O)(=O)[NH-],C22747940,P33794302
C=CCOc1ccc(cc1)C(=O)NN2CC(=NC2=O)[O-],C29023819,P44485453
CC(C)(C)[C@@H](C(=O)[O-])NC(=O)N(C)CC(=O)OC,C40519665,P61527091
c1c(cn(c1C(=O)[O-])C2CC2)S(=O)(=O)NCC#N,C40605487,P61644296
CC(C)(C(=O)[O-])NC(=O)/C=C/c1cccc(c1)[N+](=O)[O-],C40909529,P62098468
CCN(CCOC)C(=O)NC(=O)/C=C/C(=O)[O-],C42495988,P64268188
C[C@H](C(=O)[O-])S(=O)(=O)NC(C)(C)C(=O)OC,C42523047,P64309492
CCN(C[C@H]1CCCO1)C(=O)NC(=O)/C=C/C(=O)[O-],C48967021,P73154257
CN(C)C(=O)[C@H](c1ccccc1)NC(=O)c2cn[n-]n2,C49317498,P73667897
CC(C)[C@@H](C(=O)C)NC(=O)Cn1c(=O)ccc(n1)[O-],C50127791,P74970235
C1CC1CNC(=O)Cn2c(c(nn2)C(=O)[O-])C3CC3,C50223839,P75114095
C[C@H](c1[n-]nnn1)NC(=O)[C@H](c2ccccc2)OC,C50437985,P75424562
C[C@@H](CN(C)C/C(=N/c1nnc(o1)C(C)C)/[O-])O,C51838879,P77662194
Cc1cc(n(c(=O)c1C(=O)[O-])CC(=O)NCC#N)C,C61450139,P94079414
CC(C)(Cn1c(=O)[nH]nc1SCC(=O)[O-])N(C)C,C61592107,P94309419
Cc1[nH]c(cn1)S(=O)(=O)[N-][C@@H](C(C)C)C(=O)OC,C70419903,P108588851
c1cnc([nH]1)C[N-]S(=O)(=O)c2cnc(nc2)Cl,C80624120,P125919409
CCN(CC(=O)NC)C(=O)N1CC(C1)CC(=O)[O-],C81741263,P127508052
Cc1cc(n[nH]1)[N-]S(=O)(=O)[C@H](C)C(=O)OC,C82617695,P129113341
CCO/C(=N/C(=O)/C(=C/NN1CCCCC1)/C#N)/[O-],C13395760,P130206817
Cc1nc([nH]n1)CN(C)C(=O)[C@H]2[C@@H](C2(C)C)C(=O)[O-],C85415581,P133666560
Cc1[nH]nc(n1)CN(C)C(=O)[C@H]2[C@@H](C2(C)C)C(=O)[O-],C85415581,P133674381
CC[C@H](C#N)S(=O)(=O)[N-]c1cc(c[nH+]c1)C(=O)[O-],C88472348,P138389996
C1CCC(C1)(CSc2nnnn2CC(=O)[O-])O,C89693904,P140222828
Cc1ccc(cc1N[C@@H](C)C(=O)[O-])n2cnnn2,C90273715,P141119104
CCn1cc(cn1)S(=O)(=O)[N-]c2cn[nH]c2C,C90231401,P141276049
C1CC1N(CCC#N)C(=O)N[C@@H]2COC[C@@H]2C(=O)[O-],C90375988,P141298029
CN([C@H]1COC[C@@H]1C(=O)[O-])C(=O)NCCOC,C90425496,P141382630
CCN([C@H]1COC[C@H]1C(=O)[O-])C(=O)N(C)C[C@@H](C)O,C90480265,P141485519
CCN(CC)S(=O)(=O)N[C@H]1COC[C@@]1(C)C(=O)[O-],C90570488,P141645879
CCN(CC)S(=O)(=O)N[C@H]1COC[C@]1(C)C(=O)[O-],C90570490,P141645881
CN(CC1CC(C1)[O-])CC(=O)Nc2nnc(o2)C3CC3,C91489671,P143173034
C[C@@H](C(=O)OC)S(=O)(=O)N[C@@H]1C[C@@H](C=C1)C(=O)[O-],C92181144,P144320068
Cc1c(c(on1)C)[C@H](C)NC(=O)N(CC(=O)[O-])C2CC2,C92340462,P144547852
c1cc(ncc1OCCN2CCNC2=O)C(=O)[O-],C94213680,P147652215
Cc1nc(on1)CCC(=O)NC2(CCC2)CC(=O)[O-],C94290823,P147776864
c1c(c(=O)[nH]c(=O)n1CCOCC(F)(F)F)C(=O)[O-],C94343624,P147865955
CC[C@@H](C#N)S(=O)(=O)NC[C@@H]1CC[C@@H](O1)C(=O)[O-],C94558728,P148224170
c1cn(c(=O)c(n1)NC[C@H]2CC[C@@H](O2)C(=O)[O-])C3CC3,C94559616,P148225060
C[C@H](CC(=O)N1CC[C@]2(C1)C(=NC(=O)N2)[O-])COC,C94817470,P148623935
CCCNC(=O)CN(C)C(=O)c1[n-]nc(n1)C2CC2,C95052257,P149017508
CCc1nc([n-]n1)C(=O)N(C)CC(=O)NC(C)(C)C,C95052411,P149017754
CC(C)(C)NC(=O)CN(C)C(=O)c1[n-]nc(n1)C2CC2,C95052413,P149017758
CC(C)(C)NC(=O)CN(C)C(=O)c1nc([n-]n1)C2CC2,C95052413,P149021820
C[C@H](CN1CCOCC1)NC(=O)c2nc([n-]n2)C(C)C,C95057358,P149038041
C[C@H](Cn1ccnc1)NC(=O)c2nc([n-]n2)C(C)C,C95059706,P149038889
CCOC(=O)[C@@H](C)NC(=O)c1nc([n-]n1)C(C)C,C95062510,P149063230
CCN(C[C@H](C)C#N)C(=O)CC[C@@H]1C(=NC(=O)N1)[O-],C97727860,P155023813
c1cc(cc(c1)Cl)CNc2cccc3c2c(=O)[nH]nc3[O-],C19980816,P29730694
Cc1ccc(cc1)[C@@H](c2c([nH]c(=S)nc2[O-])[O-])[NH+]3C[C@H](C[C@@H](C3)C)C,C20156066,P30010399
Cc1ccc(c(c1)[N-]S(=O)(=O)c2cc(ccc2OC)N)F,C20471487,P30543403
c1cc(c(cc1N)Cl)[N-]S(=O)(=O)N2CCCCCC2,C20559736,P30675365
COc1ccc(cc1[N-]S(=O)(=O)c2cccc(c2)N)Cl,C21050219,P31455207
Cc1ccc(cc1S(=O)(=O)[N-]c2nc3ccccc3s2)N,C21499761,P32064080
Cc1ccc(cc1Cl)[N-]S(=O)(=O)c2ccc(c(c2)N)OC,C22146184,P32961331
COc1ccc(cc1)S(=O)(=O)[N-]c2ccc(cc2Cl)N,C34955748,P51900200
COc1ccc(c(c1)N)S(=O)(=O)[N-]c2cc(ccc2F)Cl,C35283836,P52355771
c1cc(ccc1C(=O)[O-])Sc2ccc(cc2)S(=O)(=O)N,C35348727,P52446008
C[C@]12CC[C@@H]3[C@@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]([C@]3(C)C(=O)[O-])CC(=O)O,C35566895,P52784738
CC(=O)c1cccc(c1)S(=O)(=O)[N-]c2ccc(c(c2)Cl)N,C36288495,P53920925
Cc1c(cccc1[N-]S(=O)(=O)c2ccc(c(c2)Cl)OC)N,C36296284,P53953900
c1cc(cc(c1)Br)S(=O)(=O)[N-]c2ccc(cc2C#N)N,C36743284,P54600913
Cc1ccc(cc1C)S(=O)(=O)[N-]c2ccc(cc2C#N)N,C36743290,P54600919
COc1cc(ccc1[N-]S(=O)(=O)c2ccc(s2)Cl)N,C36961274,P54952147
COc1ccc(cc1[N-]S(=O)(=O)c2cc(ccc2F)N)Cl,C37052749,P55080177
c1cc(c(cc1N)C#N)S(=O)(=O)[N-]c2ccc(cc2Cl)Cl,C37053753,P55081231
COc1ccc(cc1[N-]S(=O)(=O)c2cc(ccc2N)Cl)Cl,C37929170,P56996377
CC(=O)Nc1cc(c(cc1Cl)/N=C/c2ccc(cc2[O-])O)Cl,C13125962,P57473381
Cc1cccc(c1)/C=C\2/C(=O)N=C(S2)[N-]c3ccccc3C(=O)N,C39869812,P60493100
Cc1ccc(cc1S(=O)(=O)[N-]c2c(c(c(s2)C)C)C#N)N,C40327380,P61218444
C[C@H](c1ccccc1[O-])N(C)S(=O)(=O)c2ccccc2N,C40337722,P61236114
COc1ccc(c(c1)[N-]S(=O)(=O)c2cc(ccc2N)Cl)Cl,C43316832,P65495636
COc1ccc(c(c1)[N-]S(=O)(=O)c2c(cccc2F)N)Cl,C45148213,P68032766
c1ccc2c(c1)nc(s2)c3c(cn(c3N)Cc4ccco4)[O-],C13548295,P69164267
CCc1ccc(s1)S(=O)(=O)[N-]c2nc3ccc(cc3s2)N,C49044269,P73263861
C[C@@H]1CCCN(C1)S(=O)(=O)[N-]c2c(cccc2Cl)N,C50352842,P75312837
Cc1c(c([nH]n1)c2ccc(cc2[O-])O)Oc3ccc(cc3)F,C00042277,P83847118
Cc1cc(sc1C(=O)Nc2cccc(c2)SC)S(=O)(=O)[NH-],C58158025,P87715765
C/C(=N\NC(=O)[C@H]1[C@H]2[C@@]1(CCCC2)C)/c3ccc(cc3[O-])O,C09762306,P89993322
c1cc(ccc1[C@@]2(C(=NC(=O)N2)[O-])c3ccc(cc3)Cl)O,C60392931,P92288698
Cc1c(sc(c1C(=O)N)/N=C/2\c3ccccc3N=C2[O-])C,C18276337,P96421225
Cc1ccc(c(c1)C)NC(=O)c2c(c3c(ccs3)[nH]c2=O)[O-],C65215176,P100208391
c1c(cc(c(c1Cl)O)Br)/C=C/2\C(=NC(=O)N2)[O-],C00565617,P101990507
CCCc1c2c(n[nH]1)NC(=O)C[C@@H]2c3cc(cc(c3[O-])Cl)Cl,C67696141,P103945701
Cc1cccc(c1[N-]S(=O)(=O)c2cccc(c2F)Cl)C(=O)N,C71975597,P111712704
COc1ccc(cc1)[C@@]2(C(=O)N=C(N2)[NH-])Cc3cccc(c3)Cl,C71974440,P111716379
Cc1cc(nc(n1)/N=C(/N)\[N-]c2ccc(cc2Cl)Cl)C,C04011485,P112227275
Cc1ccc(cc1F)S(=O)(=O)[N-]c2cccc(c2C)C(=O)N,C55587743,P121269394
c1ccc(c(c1)Cn2c(c(c(nc2=O)[O-])Br)N)Cl,C78396834,P122291929
c1c(c(cc(c1n2cc(cn2)I)F)N)C(=O)[O-],C79903392,P124837851
Cc1ccc(c(c1)[O-])C(=O)NNC(=O)Cc2ccccc2F,C80387687,P125552012
COc1ccc(cc1N)S(=O)(=O)[N-]c2c(cccc2Cl)Cl,C88166664,P137880644
C[C@H](CCc1[nH]c(c(c(=O)n1)c2ccc(cc2)Br)[O-])O,C93162001,P145860816
COc1ccc(c(c1)SCc2nc3ccsc3c(n2)[O-])N,C93421939,P146288430
Cc1cc(c(cc1S(=O)(=O)[N-]c2nc(c(s2)C)C)N)Cl,C94832464,P148646828
Cc1cc(ccc1S(=O)(=O)[N-]c2cc(ccc2F)OC)N,C94854024,P148685625
COc1cc(ccc1C(=O)[O-])c2ccc(c(c2)C(=O)N)Cl,C65354629,P150073297
c1cc(ccc1c2ccc(nc2C(=O)[O-])N)OC(F)(F)F,C65356077,P150075142
c1ccc(c(c1)O[C@H]2[C@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O)Cl,C04275848,P05598588
c1c(nn2c1N[C@H](C[C@@H]2C(F)F)C3CC3)C(=O)NN,C02568983,P09911675
COc1ccccc1[C@@H](c2ccc3c(c2)[nH]c(=O)c(=O)[nH]3)N,C20260401,P30179838
CSC1=N[C@@]2(c3ccccc3NC2=O)N=C(N1)N,C20799762,P31030851
COc1ccc(cc1O)[C@@H]2[C@H]([C@@H](c3ccc(cc3O2)O)O)O,C31167091,P45895404
c1cnccc1CNc2cc3c(cc2N)OCC(=O)N3,C35452949,P52604101
c1cc(c(cc1Cl)N)S(=O)(=O)Nc2c[nH]nc2,C35763488,P53078210
C[C@@H](C(=O)NC(=O)NC)Sc1ccc(cn1)N,C37191739,P55304560
Cc1ccc(cc1)CNc2c(n(c(=O)[nH]c2=O)C)N,C37487646,P55750511
Cc1ccc(cc1NC(=O)c2c[nH]c(=O)[nH]2)C#CCCO,C37550352,P55841287
C[C@H]1CCC[C@@H]([C@@H]1C)NS(=O)(=O)c2c[nH]nc2N,C37557803,P55853337
Cc1c(sc(n1)[O-])S(=O)(=O)N[C@@H]2CCCC[C@H]2[NH3+],C38050246,P57213525
Cc1ccc2cccc(c2n1)Nc3c(c(=O)[nH]cn3)N,C40758702,P61876242
C[C@H]1CCCC[C@H]1CNc2c(n(c(=O)[nH]c2=O)C)N,C42804666,P64706876
c1cc2c(c(c1)N[C@@H]3CCC[NH2+]C3)c(=O)[nH]nc2[O-],C43324123,P65504716
CC(C)(/C(=N/O)/N)/C(=N/[C@@H]1C[NH+]2CCC1CC2)/[O-],C44784409,P67541277
C[C@@H](c1ccco1)NC(=O)c2c3cc(ccc3[nH]n2)N,C48278189,P72228767
Cc1ccc(s1)CNc2c(n(c(=O)[nH]c2=O)C)N,C48337229,P72312893
C1CCC(CC1)(/C(=N\O)/N)NC(=O)[C@@H]2CCOC2,C48630388,P72686945
Cc1cc(c(o1)C)[C@@H](C)NC(=O)c2c(c([nH]n2)C)N,C50306646,P75244075
c1cc(ccc1N[C@H]2CCCNC2=O)S(=O)(=O)N,C50396620,P75370420
Cc1cc(n(n1)C)NC(=O)c2cc(ccc2NN)Cl,C51121693,P76551251
c1cc(c(cc1Cl)F)NC(=O)c2ccc(nn2)NN,C51125240,P76557554
c1cc(c(cc1Cl)C(=O)Nc2cnoc2)NN,C61686057,P94472558
Cc1cccc(c1NC(=O)CN2CCC(=O)NCC2)N,C62099653,P95296957
Cc1cc(cc(c1C)C(=O)[O-])NC(=O)[C@H]2C[C@@H](C[NH2+]2)O,C62349108,P95668437
Cc1cc(on1)NC(=O)c2cc(c(c(c2)F)NN)F,C63007430,P96746043
[H]/N=C/1\NC(=O)[C@@H](S1)CC(=O)Nc2ccc(cc2C)O,C16899466,P99721939
C[C@H]1CC[C@H]([C@@H](C1)C)NS(=O)(=O)c2c[nH]nc2N,C70110986,P108069559
Cc1cn(nc1N)c2c(cc3c(n2)CCCC3)C(=O)N,C70218429,P108237675
C[C@@H]1CCC[C@@H]1n2c(nnn2)c3ccc(cc3N)N,C71209241,P109945910
c1cc(c(cc1S(=O)(=O)N=c2[nH]cc[nH]2)Br)N,C71385289,P110414517
